trip_distance_id,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,rate_code_name,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,payment_type_name,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
67,2,2016-03-10T12:14:18,2016-03-10T12:17:12,1,6.8,Standard rate,40.7637291,-73.90220642,40.76372147,-73.90222168,Cash,3.5,0,0.5,0,0,0.3,4.3
68,2,2016-03-01T03:00:36,2016-03-01T03:01:47,2,1.4,Standard rate,40.82114792,-73.89794159,40.82115555,-73.89797974,Cash,3,0.5,0.5,0,0,0.3,4.3
69,1,2016-03-01T00:01:34,2016-03-01T00:03:29,2,6.3,Standard rate,40.74721146,-73.98342896,40.74782181,-73.98468018,No charge,3,0.5,0.5,0,0,0.3,4.3
70,2,2016-03-10T11:06:06,2016-03-10T11:08:43,1,5.52,Standard rate,40.64686203,-73.78990936,40.64677429,-73.78958893,Cash,3.5,0,0.5,0,0,0.3,4.3
71,2,2016-03-10T12:00:43,2016-03-10T12:03:26,1,3.4,Standard rate,40.77747345,-73.95719147,40.77470779,-73.95908356,Cash,3.5,0,0.5,0,0,0.3,4.3
72,1,2016-03-01T00:16:45,2016-03-01T00:18:14,1,9.79,Standard rate,40.75154114,-73.94527435,40.75154114,-73.94527435,Cash,3,0.5,0.5,0,0,0.3,4.3
73,2,2016-03-10T14:22:11,2016-03-10T14:24:16,3,1.04,Standard rate,40.75278473,-73.97424316,40.75274658,-73.97422791,Cash,3.5,0,0.5,0,0,0.3,4.3
74,2,2016-03-10T11:14:54,2016-03-10T11:17:29,1,10.2,Standard rate,40.65684128,-73.79393005,40.65683365,-73.79393005,Cash,3.5,0,0.5,0,0,0.3,4.3
75,1,2016-03-01T05:19:03,2016-03-01T05:20:31,1,2.54,Standard rate,40.7938385,-73.9402771,40.79363632,-73.94052887,Cash,3,0.5,0.5,0,0,0.3,4.3
76,1,2016-03-01T00:08:19,2016-03-01T00:08:19,1,1.32,Standard rate,40.7565918,-73.98923492,0,0,Cash,3,0.5,0.5,0,0,0.3,4.3
77,1,2016-03-01T05:25:32,2016-03-01T05:27:21,1,1.51,Standard rate,40.76398849,-73.90159607,40.76398849,-73.90159607,Cash,3,0.5,0.5,0,0,0.3,4.3
78,1,2016-03-01T02:47:25,2016-03-01T02:49:31,6,1.16,Standard rate,40.68307114,-73.98042297,40.68343735,-73.9805603,Cash,3.5,0.5,0.5,0,0,0.3,4.8
79,1,2016-03-01T02:42:26,2016-03-01T02:44:53,3,0.89,Standard rate,0,0,40.68304825,-73.98014832,Cash,3.5,0.5,0.5,0,0,0.3,4.8
80,2,2016-03-01T00:28:46,2016-03-01T00:31:22,1,7.06,Standard rate,40.64696121,-73.78919983,40.64673996,-73.78929138,Cash,3.5,0.5,0.5,0,0,0.3,4.8
81,2,2016-03-10T08:41:04,2016-03-10T08:44:52,1,5.57,Standard rate,40.76465988,-73.94126129,40.76473999,-73.93811798,Credit card,4,0,0.5,0,0,0.3,4.8
82,2,2016-03-10T07:25:53,2016-03-10T07:29:45,6,0.99,Standard rate,40.74000931,-73.98390198,40.74000168,-73.98387146,Cash,4,0,0.5,0,0,0.3,4.8
83,2,2016-03-10T11:47:54,2016-03-10T11:51:08,2,2.81,Standard rate,40.78076935,-73.98153687,40.77518845,-73.97734833,Cash,4,0,0.5,0,0,0.3,4.8
84,2,2016-03-10T14:20:00,2016-03-10T14:23:22,2,2.45,Standard rate,40.75175095,-73.97416687,40.75196838,-73.97463226,Credit card,4,0,0.5,0,0,0.3,4.8
85,1,2016-03-01T06:09:31,2016-03-01T06:12:56,2,2.61,Standard rate,40.68269348,-73.98007965,40.68269348,-73.98007965,Cash,4,0,0.5,0,0,0.3,4.8
86,2,2016-03-10T11:43:28,2016-03-10T11:47:46,1,0.73,Standard rate,40.73750305,-73.98938751,40.73759079,-73.98935699,Cash,4.5,0,0.5,0,0,0.3,5.3
87,2,2016-03-10T11:50:40,2016-03-10T11:54:50,5,1.92,Standard rate,40.75881577,-73.9726944,40.76349258,-73.97505951,Credit card,4.5,0,0.5,0,0,0.3,5.3
88,2,2016-03-10T12:35:02,2016-03-10T12:35:09,2,3.25,Standard rate,40.74620056,-73.97213745,40.74634933,-73.9723587,Credit card,2.5,0,0.5,2,0,0.3,5.3
89,2,2016-03-10T09:16:35,2016-03-10T09:16:39,5,4.83,Negotiated fare,0,0,40.78604889,-73.95509338,Credit card,5,0,0,0,0,0.3,5.3
90,2,2016-03-10T13:26:17,2016-03-10T13:30:52,6,2.46,Standard rate,40.7427597,-73.99655151,40.74237823,-74.00447845,Cash,4.5,0,0.5,0,0,0.3,5.3
91,1,2016-03-01T00:53:35,2016-03-01T00:57:11,1,2.85,Standard rate,40.74093628,-73.93475342,40.74093628,-73.93475342,No charge,4,0.5,0.5,0,0,0.3,5.3
92,2,2016-03-01T02:17:05,2016-03-01T02:17:07,1,4.33,Negotiated fare,0,0,40.67039108,-73.92761993,Credit card,5,0,0,0,0,0.3,5.3
93,1,2016-03-01T00:22:38,2016-03-01T00:24:51,2,5.06,Standard rate,40.74196625,-73.98274231,40.74274063,-73.98441315,Credit card,3,0.5,0.5,1.25,0,0.3,5.55
94,1,2016-03-01T00:11:05,2016-03-01T00:11:05,1,9.5,Standard rate,40.64514542,-73.77706909,0,0,Cash,4.5,0.5,0.5,0,0,0.3,5.8
95,2,2016-03-10T10:02:15,2016-03-10T10:07:58,5,0.55,Standard rate,40.75016403,-73.99181366,40.73242188,-74.00170898,Cash,5,0,0.5,0,0,0.3,5.8
96,2,2016-03-10T07:45:19,2016-03-10T07:51:35,1,1.5,Standard rate,40.75991821,-73.97869873,40.75504684,-73.98238373,Credit card,5.5,0,0.5,0,0,0.3,6.3
97,2,2016-03-10T09:11:35,2016-03-10T09:11:48,1,1.2,Standard rate,0,0,40.76427841,-73.98255157,Credit card,2.5,0,0.5,3,0,0.3,6.3
98,1,2016-03-01T06:14:20,2016-03-01T06:20:36,2,5.4,Standard rate,40.68269348,-73.98007965,40.68312073,-73.98003387,Cash,5.5,0,0.5,0,0,0.3,6.3
99,2,2016-03-10T12:41:50,2016-03-10T12:43:00,1,1.43,Standard rate,0,0,40.78852081,-73.97678375,Credit card,2.5,0,0.5,3,0,0.3,6.3
100,2,2016-03-10T11:53:49,2016-03-10T12:01:41,1,2.99,Standard rate,40.77384186,-73.96029663,40.77632141,-73.97818756,Credit card,6,0,0.5,0,0,0.3,6.8
101,1,2016-03-01T05:29:43,2016-03-01T05:29:43,1,0.46,Standard rate,40.75088882,-73.99406433,0,0,Cash,5.5,0.5,0.5,0,0,0.3,6.8
102,2,2016-03-01T00:16:13,2016-03-01T00:16:17,4,2.91,Standard rate,0,0,0,0,Credit card,2.5,0.5,0.5,3,0,0.3,6.8
103,2,2016-03-10T11:55:50,2016-03-10T11:55:55,2,0.9,Standard rate,0,0,0,0,Credit card,2.5,0,0.5,3.5,0,0.3,6.8
104,2,2016-03-10T08:13:41,2016-03-10T08:13:51,5,4.76,Standard rate,40.75735855,-73.97396851,40.75735855,-73.97396851,Credit card,2.5,0,0.5,3.75,0,0.3,7.05
105,2,2016-03-10T10:35:52,2016-03-10T10:44:26,4,4.51,Standard rate,40.76676559,-73.93034363,40.76520538,-73.91390228,Cash,6.5,0,0.5,0,0,0.3,7.3
106,2,2016-03-10T08:09:06,2016-03-10T08:09:09,2,2.3,Negotiated fare,0,0,0,0,Cash,7,0,0,0,0,0.3,7.3
107,2,2016-03-10T07:22:19,2016-03-10T07:30:43,1,5.66,Standard rate,40.75067139,-73.99454498,40.75497818,-73.97746277,Cash,6.5,0,0.5,0,0,0.3,7.3
108,2,2016-03-10T12:04:16,2016-03-10T12:10:45,5,1.47,Standard rate,40.73432159,-73.99912262,40.74073029,-73.9930191,Credit card,5.5,0,0.5,1,0,0.3,7.3
109,2,2016-03-10T12:55:19,2016-03-10T13:03:29,1,18.34,Standard rate,40.77846146,-73.98525238,40.79784012,-73.97148132,Cash,6.5,0,0.5,0,0,0.3,7.3
110,1,2016-03-01T04:05:30,2016-03-01T04:05:30,2,1.74,Standard rate,40.80257034,-73.95667267,0,0,Cash,6,0.5,0.5,0,0,0.3,7.3
111,2,2016-03-10T10:29:38,2016-03-10T10:37:29,2,20.2,Standard rate,40.79386902,-73.96694183,40.80765152,-73.96054077,Credit card,6,0,0.5,1,0,0.3,7.8
112,2,2016-03-10T11:46:46,2016-03-10T11:56:44,6,3.37,Standard rate,40.7612915,-73.98419952,40.75048828,-73.99118805,Cash,7,0,0.5,0,0,0.3,7.8
113,2,2016-03-10T08:08:01,2016-03-10T08:17:39,2,18.95,Standard rate,40.76485062,-73.98423767,40.75743103,-73.97486877,Cash,7,0,0.5,0,0,0.3,7.8
114,2,2016-03-01T01:50:15,2016-03-01T01:50:19,1,3.32,Negotiated fare,0,0,0,0,Credit card,7,0,0.5,0,0,0.3,7.8
